x,y
test_plug_data_segmentation_151.csv,0
test_plug_data_segmentation_152.csv,0
test_plug_data_segmentation_153.csv,0
test_plug_data_segmentation_154.csv,0
test_plug_data_segmentation_155.csv,0
test_plug_data_segmentation_156.csv,0
test_plug_data_segmentation_157.csv,0
test_plug_data_segmentation_158.csv,0
test_plug_data_segmentation_159.csv,0
test_plug_data_segmentation_160.csv,0
test_plug_data_segmentation_161.csv,0
test_plug_data_segmentation_162.csv,0
test_plug_data_segmentation_163.csv,0
test_plug_data_segmentation_164.csv,0
test_plug_data_segmentation_165.csv,0
test_plug_data_segmentation_166.csv,0
test_plug_data_segmentation_167.csv,0
test_plug_data_segmentation_168.csv,0
test_plug_data_segmentation_169.csv,0
test_plug_data_segmentation_170.csv,0
test_plug_data_segmentation_171.csv,0
test_plug_data_segmentation_172.csv,0
test_plug_data_segmentation_173.csv,0
test_plug_data_segmentation_174.csv,0
test_plug_data_segmentation_181.csv,1
test_plug_data_segmentation_182.csv,1
test_plug_data_segmentation_183.csv,1
test_plug_data_segmentation_184.csv,1
test_plug_data_segmentation_185.csv,1
test_plug_data_segmentation_186.csv,1
test_plug_data_segmentation_187.csv,1
test_plug_data_segmentation_188.csv,1
test_plug_data_segmentation_189.csv,1
test_plug_data_segmentation_190.csv,1
test_plug_data_segmentation_191.csv,1
test_plug_data_segmentation_192.csv,1
test_plug_data_segmentation_193.csv,1
test_plug_data_segmentation_194.csv,1
test_plug_data_segmentation_195.csv,1
test_plug_data_segmentation_196.csv,1
test_plug_data_segmentation_197.csv,1
test_plug_data_segmentation_198.csv,1
test_plug_data_segmentation_199.csv,1
test_plug_data_segmentation_200.csv,1
test_plug_data_segmentation_201.csv,1
test_plug_data_segmentation_202.csv,1
test_plug_data_segmentation_203.csv,1
test_plug_data_segmentation_204.csv,1
